상호명,지점명,시도명,시군구명,도로명주소
스타벅스,이촌역점,서울특별시,용산구,서울특별시 용산구 서빙고로 67
스타벅스홍대갤러리점,홍대갤러리점,서울특별시,마포구,서울특별시 마포구 와우산로 101
스타벅스,가양이마트점,서울특별시,강서구,서울특별시 강서구 양천로 559
스타벅스,목동5단지점,서울특별시,양천구,서울특별시 양천구 목동동로 411
스타벅스,석촌호수점,서울특별시,송파구,서울특별시 송파구 석촌호수로 262
스타벅스,건대입구점,서울특별시,광진구,서울특별시 광진구 능동로 107
스타벅스경복궁역,,서울특별시,종로구,서울특별시 종로구 자하문로4길 6
스타벅스합정메세나몰점,합정메세나몰점,서울특별시,마포구,서울특별시 마포구 양화로 45
스타벅스신촌명물거리점,신촌명물거리점,서울특별시,서대문구,서울특별시 서대문구 명물길 24
스타벅스대치점,대치점,서울특별시,강남구,서울특별시 강남구 도곡로 511
스타벅스광운대점,광운대점,서울특별시,노원구,서울특별시 노원구 석계로 104
스타벅스,교대법원점,서울특별시,서초구,서울특별시 서초구 서초중앙로 164
스타벅스,목동8단지점,서울특별시,양천구,서울특별시 양천구 목동서로 299
스타벅스,구로호텔점,서울특별시,구로구,서울특별시 구로구 디지털로32길 72
스타벅스,롯데캐슬여의도점,서울특별시,영등포구,서울특별시 영등포구 의사당대로 127
스타벅스,신당역점,서울특별시,중구,서울특별시 중구 퇴계로 385
스타벅스,대치역점,서울특별시,강남구,서울특별시 강남구 남부순환로 2936
스타벅스,영등포KT점,서울특별시,영등포구,서울특별시 영등포구 영중로 119
스타벅스,방배카페골목점,서울특별시,서초구,서울특별시 서초구 방배중앙로 162
스타벅스,랜드마크점,서울특별시,강남구,서울특별시 강남구 강남대로 308
스타벅스,아시아선수촌점,서울특별시,송파구,서울특별시 송파구 백제고분로 69
스타벅스올림픽공원남문점,올림픽공원남문점,서울특별시,송파구,서울특별시 송파구 위례성대로 102
스타벅스,삼성서울병원점,서울특별시,강남구,서울특별시 강남구 일원로 81
스타벅스코엑스사거리점,코엑스사거리점,서울특별시,강남구,서울특별시 강남구 영동대로 616
스타벅스,서강대흥역점,서울특별시,마포구,서울특별시 마포구 백범로 89
스타벅스,목동역점,서울특별시,양천구,서울특별시 양천구 목동로 203
스타벅스,KBS동문점,서울특별시,영등포구,서울특별시 영등포구 국회대로62길 25
스타벅스,서교동사거리점,서울특별시,마포구,서울특별시 마포구 양화로 105
스타벅스,양재역점,서울특별시,서초구,서울특별시 서초구 강남대로 202
스타벅스신압구정점,신압구정점,서울특별시,강남구,서울특별시 강남구 언주로174길 29
스타벅스,제일은행본점,서울특별시,종로구,서울특별시 종로구 종로 47
스타벅스명동중앙로,,서울특별시,중구,서울특별시 중구 명동길 60
스타벅스,방배로점,서울특별시,서초구,서울특별시 서초구 방배로 52
스타벅스,강동암사DT점,서울특별시,강동구,서울특별시 강동구 고덕로 43
스타벅스,서울역동자동점,서울특별시,용산구,서울특별시 용산구 한강대로 372
스타벅스,서울숲역점,서울특별시,성동구,서울특별시 성동구 왕십리로 50
