????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
 ???,??,85 - 89?,981,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,310.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,57,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,7.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,229603,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,6076,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,9608,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,11762.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,12918,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,14150,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,15179.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,13272,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,16328,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,18874,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,22297.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,50 - 54?,19985.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,18172.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,16796,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,11768,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,8433,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,6078.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,7904,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,4297.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,3606.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,2435,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,918.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,225,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,28,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,?,579138,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,0 - 4?,19060,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,5 - 9?,22673.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,10 - 14?,21346.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,15 - 19?,24563.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,20 - 24?,34599,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,25 - 29?,52156.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,30 - 34?,49505,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,35 - 39?,50801.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,40 - 44?,44750,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,45 - 49?,46066,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,50 - 54?,42346,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,55 - 59?,43686.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,60 - 64?,43128,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,65 - 69?,30562,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,70 - 74?,22459,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,75 - 79?,15114.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80? ??,16320.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80 - 84?,9362.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85? ??,6958,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85 - 89?,4675.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,90 - 94?,1829.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,95 - 99?,404,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,100? ??,49,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,279975.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,9792,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,11540.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,10963,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,12501,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,16469,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,24072,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,24715.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,26139,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,22461,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,23057,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,50 - 54?,20462,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,20503.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,20038.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,14222,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,10743,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,6850,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,5446.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,3520,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,1926.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,1413,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,404,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,97,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,12.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,299162.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,9268,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,11133,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,10383.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,12062.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,18130,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,28084.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,24789.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,24662.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,22289,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,23009,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,50 - 54?,21884,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,23183,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,23089.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,16340,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,11716,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,8264.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,10874,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,5842.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,5031.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,3262.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,1425.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,307,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,36.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,?,400914.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,0 - 4?,13629,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,5 - 9?,15694,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,10 - 14?,14637.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,15 - 19?,16137.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,20 - 24?,23651.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,25 - 29?,31640,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,30 - 34?,30310,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,35 - 39?,33112,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,40 - 44?,30634.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,45 - 49?,32339.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,50 - 54?,31060,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,55 - 59?,31480.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,60 - 64?,30782.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,65 - 69?,23042.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,70 - 74?,17936,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,75 - 79?,12725,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80? ??,12102.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80 - 84?,7526,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85? ??,4576.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85 - 89?,3230,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,90 - 94?,1075,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,95 - 99?,246,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,100? ??,25.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,197915.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,7018,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,7949.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,7490.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,8402,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,11593.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,15580,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,15241,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,17063,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,15740.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,16562.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,50 - 54?,15337,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,15394.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,14569,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,10794.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,8668.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,5929,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,4582.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,3178,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,1404.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,1089,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,253.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,58,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,4,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,202999,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,6611,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,7744.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,7147,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,7735.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,12058,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,16060,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,15069,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,16049,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,14894,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,15777,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,50 - 54?,15723,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,16086,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,16213.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,12248,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,9267.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,6796,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,7520,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,4348,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,3172,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,2141,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,821.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,188,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,21.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,?,228342,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,0 - 4?,6195,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,5 - 9?,6926.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,10 - 14?,6742,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,15 - 19?,8430.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,20 - 24?,14499,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,25 - 29?,21987.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,30 - 34?,18120,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,35 - 39?,17092.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,40 - 44?,15131.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,45 - 49?,17704.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,50 - 54?,19348,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,55 - 59?,20449,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,60 - 64?,18589.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,65 - 69?,13044.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,70 - 74?,9964,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,75 - 79?,7353.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80? ??,6764.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80 - 84?,4158,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85? ??,2606.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85 - 89?,1848.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,90 - 94?,597.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,95 - 99?,137.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,100? ??,23,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,115594,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,3191.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,3527.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,3422.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,4269.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,7118.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,11460,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,10064.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,9408.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,8043.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,9095.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,50 - 54?,9632.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,10240.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,9229.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,6268,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,4720,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,3371.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,2530.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,1734.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,796,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,626,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,127.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,38,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,4.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,112748,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,3003.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,3399,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,3319.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,4161,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,7380.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,10527.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,8055.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,7684,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,7088,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,8609,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,50 - 54?,9715.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,10208.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,9360,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,6776.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,5244,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,3982,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,4234,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,2423.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,1810.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,1222.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,470,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,99.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,18.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,?,366258,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,0 - 4?,12830,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,5 - 9?,12781.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,10 - 14?,11277,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,15 - 19?,13174.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,20 - 24?,21671.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,25 - 29?,35861.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,30 - 34?,34426.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,35 - 39?,32554,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,40 - 44?,26836.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,45 - 49?,28001,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,50 - 54?,27413.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,55 - 59?,27447.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,60 - 64?,25687,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,65 - 69?,18600.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,70 - 74?,14712.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,75 - 79?,11147.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,80? ??,11835.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,80 - 84?,7187.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,85? ??,4648,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,85 - 89?,3297,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,90 - 94?,1063,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,95 - 99?,259,,,,,,,,,,,,,,,,,,,,,,,,
 ????,?,100? ??,29,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,?,181332,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,0 - 4?,6533.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,5 - 9?,6491,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,10 - 14?,5897.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,15 - 19?,6920.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,20 - 24?,10165,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,25 - 29?,17020.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,30 - 34?,17486.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,35 - 39?,16998,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,40 - 44?,13781.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,45 - 49?,14375.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,50 - 54?,13824.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,55 - 59?,13857,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,60 - 64?,12568.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,65 - 69?,8932,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,70 - 74?,6949,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,75 - 79?,4999,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,80? ??,4532.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,80 - 84?,3042.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,85? ??,1490,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,85 - 89?,1143.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,90 - 94?,281,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,95 - 99?,62,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,100? ??,3.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,?,184926,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,0 - 4?,6296.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,5 - 9?,6290.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,10 - 14?,5379.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,15 - 19?,6254,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,20 - 24?,11506.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,25 - 29?,18841,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,30 - 34?,16940,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,35 - 39?,15556,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,40 - 44?,13055,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,45 - 49?,13625.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,50 - 54?,13589,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,55 - 59?,13590.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,60 - 64?,13118.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,65 - 69?,9668.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,70 - 74?,7763.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,75 - 79?,6148.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,80? ??,7303,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,80 - 84?,4145,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,85? ??,3158,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,85 - 89?,2153.5,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,90 - 94?,782,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,95 - 99?,197,,,,,,,,,,,,,,,,,,,,,,,,
 ????,??,100? ??,25.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,?,387858.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,0 - 4?,11700,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,5 - 9?,13855,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,10 - 14?,13156.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,15 - 19?,15381,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,20 - 24?,27760.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,25 - 29?,38372,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,30 - 34?,31712.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,35 - 39?,30938.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,40 - 44?,28503.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,45 - 49?,30269.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,50 - 54?,28908,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,55 - 59?,28632.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,60 - 64?,27164,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,65 - 69?,20038,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,70 - 74?,16374.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,75 - 79?,12343,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80? ??,12749.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80 - 84?,7675.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85? ??,5074,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85 - 89?,3489.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,90 - 94?,1251,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,95 - 99?,291.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,100? ??,42,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,187886,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,5950.5,,,,,,,,,,,,,,,,,,,,,,,,
