????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
?????,?,20 - 24?,631877.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,25 - 29?,816546,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,30 - 34?,719526,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,35 - 39?,756788,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,40 - 44?,714459,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,45 - 49?,801398.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,50 - 54?,762279.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,55 - 59?,732788,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,60 - 64?,689251,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,65 - 69?,496050,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,70 - 74?,385833.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,75 - 79?,289716.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,80? ??,297315.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,80 - 84?,178205.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,85? ??,119110,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,85 - 89?,81871.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,90 - 94?,29509.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,95 - 99?,6768.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,?,100? ??,960.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,?,4642652.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,0 - 4?,146911.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,5 - 9?,182973.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,10 - 14?,190280.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,15 - 19?,219320.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,20 - 24?,303775.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,25 - 29?,402080.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,30 - 34?,359044.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,35 - 39?,379352.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,40 - 44?,353614,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,45 - 49?,396805.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,50 - 54?,375169,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,55 - 59?,356333,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,60 - 64?,326997,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,65 - 69?,233225,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,70 - 74?,177616,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,75 - 79?,130497.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,80? ??,108656.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,80 - 84?,72557.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,85? ??,36099,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,85 - 89?,26993,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,90 - 94?,7378.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,95 - 99?,1550,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,100? ??,177.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,?,4890759.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,0 - 4?,138595.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,5 - 9?,173902,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,10 - 14?,179570,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,15 - 19?,208029.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,20 - 24?,328102,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,25 - 29?,414465.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,30 - 34?,360481.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,35 - 39?,377435.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,40 - 44?,360845,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,45 - 49?,404593,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,50 - 54?,387110.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,55 - 59?,376455,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,60 - 64?,362254,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,65 - 69?,262825,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,70 - 74?,208217.5,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,75 - 79?,159219,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,80? ??,188659,,,,,,,,,,,,,,,,,,,,,,,,
?????,??,80 - 84?,105648,,,,,,,,,,,,,,,,,,,,,,,,
